"","Date","StockClose","StockChange","StockPrctChange","StockVolume","VIX","Event","SPY_Close","SPY_Volume"
"3581",2010-08-06,25.55,0.18,0.0071,55985400,21.74,NA,112.39,239728304
"3582",2010-08-05,25.37,-0.36,-0.014,64922000,22.1,NA,112.85,140473696
"3583",2010-08-04,25.73,-0.43,-0.0164,78531800,22.21,NA,112.97,158171600
"3584",2010-08-03,26.16,-0.17,-0.0065,56877600,22.63,NA,112.22,146657200
"3585",2010-08-02,26.33,0.52,0.0201,55044500,22.01,NA,112.76,188263200
"3586",2010-07-30,25.81,-0.22,-0.0085,83534704,23.5,NA,110.27,220070496
"3587",2010-07-29,26.03,0.08,0.0031,69446096,24.13,NA,110.29,220148992
"3588",2010-07-28,25.95,-0.21,-0.008,69704704,24.25,NA,110.83,163056096
"3589",2010-07-27,26.16,0.06,0.0023,60682400,23.19,NA,111.55,204855504
"3590",2010-07-26,26.1,0.29,0.0112,67249800,22.73,NA,111.56,182126400
"3591",2010-07-23,25.81,-0.03,-0.0012,108520000,23.47,NA,110.41,222030496
"3592",2010-07-22,25.84,0.72,0.0287,73016304,24.63,"Earnings",109.46,274781184
"3593",2010-07-21,25.12,-0.36,-0.0141,73297504,25.64,NA,107.07,264527008
"3594",2010-07-20,25.48,0.25,0.0099,45530100,23.93,NA,108.48,258162304
"3595",2010-07-19,25.23,0.34,0.0137,38181700,25.97,NA,107.29,186708896
"3596",2010-07-16,24.89,-0.62,-0.0243,65064700,26.25,NA,106.66,282693312
"3597",2010-07-15,25.51,0.07,0.0028,56934600,25.14,NA,109.68,232337904
"3598",2010-07-14,25.44,0.31,0.0123,72808000,24.89,NA,109.65,184426704
"3599",2010-07-13,25.13,0.3,0.0121,61928600,24.56,NA,109.66,213020896
"3600",2010-07-12,24.83,0.56,0.0231,49862200,24.43,NA,108.03,131283504
"3601",2010-07-09,24.27,-0.14,-0.0057,53811300,24.98,NA,107.96,144999808
"3602",2010-07-08,24.41,0.11,0.0045,50768000,25.71,NA,107.16,210842000
"3603",2010-07-07,24.3,0.48,0.0202,81967200,26.84,NA,106.11,253769696
"3604",2010-07-06,23.82,0.55,0.0236,73594496,29.65,NA,102.87,256936400
"3605",2010-07-02,23.27,0.11,0.0047,62489400,30.12,NA,102.2,233385104
"3606",2010-07-01,23.16,0.15,0.0065,92239296,32.86,NA,102.76,382924704
"3607",2010-06-30,23.01,-0.3,-0.0129,81057904,34.54,NA,103.22,284101600
"3608",2010-06-29,23.31,-1,-0.0411,119885696,34.13,NA,104.21,373760384
"3609",2010-06-28,24.31,-0.22,-0.009,73787800,29,NA,107.53,169333200
"3610",2010-06-25,24.53,-0.47,-0.0188,156256608,28.53,NA,107.87,238726496
"3611",2010-06-24,25,-0.31,-0.0122,85252200,29.74,NA,107.42,268692000
"3612",2010-06-23,25.31,-0.46,-0.0179,61468200,26.91,NA,109.23,254698704
"3613",2010-06-22,25.77,-0.18,-0.0069,55986300,27.05,NA,109.57,239355296
"3614",2010-06-21,25.95,-0.49,-0.0185,54625200,24.88,NA,111.41,213140608
"3615",2010-06-18,26.44,0.07,0.0027,52079200,23.95,NA,111.73,174006496
"3616",2010-06-17,26.37,0.05,0.0019,47998600,25.05,NA,112.14,263185696
"3617",2010-06-16,26.32,-0.26,-0.0098,48699300,25.92,NA,111.96,216373904
"3618",2010-06-15,26.58,1.08,0.0424,81644200,25.87,NA,112,238268608
"3619",2010-06-14,25.5,-0.16,-0.0062,50972300,28.58,NA,109.51,207196000
"3620",2010-06-11,25.66,0.66,0.0264,68057696,28.79,NA,109.68,214128096
"3621",2010-06-10,25,0.21,0.0085,78950400,30.57,NA,109.15,317890496
"3622",2010-06-09,24.79,-0.32,-0.0127,87808400,33.73,NA,106.05,268023200
"3623",2010-06-08,25.11,-0.18,-0.0071,87354896,33.7,NA,106.62,357774400
"3624",2010-06-07,25.29,-0.5,-0.0194,80456096,36.57,NA,105.49,264609104
"3625",2010-06-04,25.79,-1.07,-0.0398,89833200,35.48,NA,106.82,398475488
"3626",2010-06-03,26.86,0.4,0.0151,67839296,29.46,NA,110.71,226618208
"3627",2010-06-02,26.46,0.57,0.022,65718700,30.17,NA,110.33,240243600
"3628",2010-06-01,25.89,0.09,0.0035,76155400,35.54,NA,107.53,277909312
"3629",2010-05-28,25.8,-0.2,-0.0077,67502200,32.07,NA,109.37,297933408
"3630",2010-05-27,26,0.99,0.0396,136434496,29.68,NA,110.76,300870400
"3631",2010-05-26,25.01,-1.06,-0.0407,176684000,35.02,NA,107.17,349718304
"3632",2010-05-25,26.07,-0.2,-0.0076,98373504,34.61,NA,107.82,396505088
"3633",2010-05-24,26.27,-0.57,-0.0212,73712000,38.32,NA,107.71,269823008
"3634",2010-05-21,26.84,-0.27,-0.01,117600200,40.1,NA,109.12,500909184
"3635",2010-05-20,27.11,-1.13,-0.04,87991000,45.79,NA,107.54,530423808
"3636",2010-05-19,28.24,-0.36,-0.0126,61754100,35.32,NA,111.76,394759488
"3637",2010-05-18,28.6,-0.34,-0.0117,52772100,33.55,"Dividend",112.4,360595712
"3638",2010-05-17,28.94,0.01,3e-04,46055400,30.84,NA,113.95,325944000
"3639",2010-05-14,28.93,-0.31,-0.0106,63333900,31.24,NA,113.89,345601984
"3640",2010-05-13,29.24,-0.2,-0.0068,45291500,26.68,NA,115.99,234456000
"3641",2010-05-12,29.44,0.56,0.0194,47152400,25.52,NA,117.45,235607008
"3642",2010-05-11,28.88,-0.06,-0.0021,63803000,28.32,NA,115.83,317849696
"3643",2010-05-10,28.94,0.73,0.0259,86656200,28.84,NA,116.16,396159488
