"id","attachment","total_limit","total_premium","layer_number","price_per_million","rate_relativity","industry_vertical","region","sic_code"
109,7.5e+07,25000000,60000,4,2400,0.819672131147541,"Health & Life Sciences: Life Sciences","NE","8071"
114,0,15000000,276816,0,18454.4,NA,"Tech Media Telecom","NE","2711"
114,1.5e+07,10000000,71104,1,7110.4,0.385295647650425,"Tech Media Telecom","NE","2711"
114,2.5e+07,30000000,112529,2,3750.96666666667,0.527532440744074,"Tech Media Telecom","NE","2711"
114,5.5e+07,30000000,1e+05,3,3333.33333333333,0.888659812137316,"Tech Media Telecom","NE","2711"
114,8.5e+07,15000000,41500,4,2766.66666666667,0.83,"Tech Media Telecom","NE","2711"
114,1e+08,50000000,84000,5,1680,0.607228915662651,"Tech Media Telecom","NE","2711"
115,0,15000000,430000,0,28666.6666666667,NA,"REHL: Food & Beverage Manufacturing","NE","2024"
115,1.5e+07,10000000,92920,1,9292,0.324139534883721,"REHL: Food & Beverage Manufacturing","NE","2024"
115,2.5e+07,25000000,107000,2,4280,0.460611278519156,"REHL: Food & Beverage Manufacturing","NE","2024"
115,5e+07,25000000,53400,3,2136,0.499065420560748,"REHL: Food & Beverage Manufacturing","NE","2024"
115,7.5e+07,25000000,38000,4,1520,0.711610486891386,"REHL: Food & Beverage Manufacturing","NE","2024"
116,0,15000000,582056,0,38803.7333333333,NA,"M&A/General Industries","NE","7361"
116,1.5e+07,10000000,71000,1,7100,0.182972085160191,"M&A/General Industries","NE","7361"
116,2.5e+07,10000000,66900,2,6690,0.942253521126761,"M&A/General Industries","NE","7361"
116,3.5e+07,15000000,73917,3,4927.8,0.736591928251121,"M&A/General Industries","NE","7361"
117,0,5000000,515000,0,103000,NA,"Retail & Distribution","NE","3564"
117,5e+06,5000000,270983,1,54196.6,0.526180582524272,"Retail & Distribution","NE","3564"
117,1e+07,25000000,342353,2,13694.12,0.252674891044826,"Retail & Distribution","NE","3564"
117,3.5e+07,25000000,177000,3,7080,0.517010220444979,"Retail & Distribution","NE","3564"
117,6e+07,15000000,69000,4,4600,0.649717514124294,"Retail & Distribution","NE","3564"
120,0,15000000,1307000,0,87133.3333333333,NA,"M&A/General Industries","NE","3411"
120,1.5e+07,10000000,437000,1,43700,0.501530221882173,"M&A/General Industries","NE","3411"
120,2.5e+07,25000000,406654,2,16266.16,0.372223340961098,"M&A/General Industries","NE","3411"
120,5e+07,25000000,188500,3,7540,0.463539028264815,"M&A/General Industries","NE","3411"
120,7.5e+07,25000000,124975,4,4999,0.662997347480106,"M&A/General Industries","NE","3411"
121,0,25000000,118863,0,4754.52,NA,"M&A/General Industries","NE","2221"
121,2.5e+07,25000000,53000,1,2120,0.445891488520397,"M&A/General Industries","NE","2221"
121,5e+07,25000000,49200,2,1968,0.928301886792453,"M&A/General Industries","NE","2221"
121,7.5e+07,25000000,36250,3,1450,0.736788617886179,"M&A/General Industries","NE","2221"
122,0,10000000,202000,0,20200,NA,"REHL: Real Estate","NE","6798"
122,1e+07,15000000,151200,1,10080,0.499009900990099,"REHL: Real Estate","NE","6798"
122,2.5e+07,10000000,49389,2,4938.9,0.489970238095238,"REHL: Real Estate","NE","6798"
122,3.5e+07,15000000,65000,3,4333.33333333333,0.877388352332166,"REHL: Real Estate","NE","6798"
122,5e+07,50000000,161600,4,3232,0.745846153846154,"REHL: Real Estate","NE","6798"
122,1e+08,50000000,103000,5,2060,0.637376237623762,"REHL: Real Estate","NE","6798"
123,0,10000000,167260,0,16726,NA,"M&A/General Industries","NE","3577"
123,1e+07,15000000,85000,1,5666.66666666667,0.338793893738292,"M&A/General Industries","NE","3577"
123,2.5e+07,25000000,53925,2,2157,0.380647058823529,"M&A/General Industries","NE","3577"
