"ClientID","Line","LayerNumber","CarrierNumber","Attachment","Limit","Capacity","Premium","PPM","Weight","LayerAttachment","LayerLimit","LayerCapacity","LayerPremium","Relativity","SIC.Code"
63,"XS",3,1,4e+07,1e+07,5e+07,427500,42750,1,4e+07,1e+07,5e+07,427500,0.855,NA
63,"XS",4,1,5e+07,2500000,52500000,97185,38874,0.167,5e+07,1.5e+07,6.5e+07,583110,0.90933,NA
63,"XS",4,2,5e+07,2500000,52500000,97185,38874,0.167,5e+07,1.5e+07,6.5e+07,583110,0.90933,NA
63,"XS",4,3,5e+07,2500000,52500000,97185,38874,0.167,5e+07,1.5e+07,6.5e+07,583110,0.90933,NA
63,"XS",4,4,5e+07,7500000,57500000,291555,38874,0.5,5e+07,1.5e+07,6.5e+07,583110,0.90933,NA
63,"XS",5,1,6.5e+07,1.5e+07,8e+07,421800,28120,1,6.5e+07,1.5e+07,8e+07,421800,0.72336,NA
63,"XS",6,1,8e+07,1.5e+07,9.5e+07,277879,18525,1,8e+07,1.5e+07,9.5e+07,277879,0.65879,NA
63,"XS",7,1,9.5e+07,1.5e+07,1.1e+08,237000,15800,1,9.5e+07,1.5e+07,1.1e+08,237000,0.85289,NA
63,"XS",8,1,1.1e+08,1e+07,1.2e+08,120485,12049,0.25,1.1e+08,4e+07,1.5e+08,484085,0.76596,NA
63,"XS",8,2,1.1e+08,1.5e+07,1.25e+08,181800,12120,0.375,1.1e+08,4e+07,1.5e+08,484085,0.76596,NA
63,"XS",8,3,1.1e+08,1.5e+07,1.25e+08,181800,12120,0.375,1.1e+08,4e+07,1.5e+08,484085,0.76596,NA
63,"XS",9,1,1.5e+08,2.5e+07,1.75e+08,250800,10032,1,1.5e+08,2.5e+07,1.75e+08,250800,0.82895,NA
63,"XS",10,1,1.75e+08,12500000,187500000,119130,9530,0.5,1.75e+08,2.5e+07,2e+08,229596,0.91545,NA
63,"XS",10,2,1.75e+08,1e+07,1.85e+08,86640,8664,0.4,1.75e+08,2.5e+07,2e+08,229596,0.91545,NA
63,"XS",10,3,1.75e+08,2500000,177500000,23826,9530,0.1,1.75e+08,2.5e+07,2e+08,229596,0.91545,NA
64,"UM",0,1,5e+06,1.5e+07,2e+07,750000,50000,1,5e+06,1.5e+07,2e+07,750000,NA,NA
64,"XS",1,1,1.5e+07,1e+07,2.5e+07,197556,19756,1,1.5e+07,1e+07,2.5e+07,197556,0.39511,NA
64,"XS",2,1,2.5e+07,7500000,32500000,105000,14000,0.5,2.5e+07,1.5e+07,4e+07,210000,0.70866,NA
64,"XS",2,2,2.5e+07,7500000,32500000,105000,14000,0.5,2.5e+07,1.5e+07,4e+07,210000,0.70866,NA
64,"XS",3,1,4e+07,7500000,47500000,77250,10300,0.5,4e+07,1.5e+07,5.5e+07,154500,0.73571,NA
